time,true_air,est,door,compressor,filtered_temp,food_proxy,true_food,target
1,2.00287,5462.22,0,0,0,0,2,4
2,2.00575,7138.22,0,0,0,0,2,4
3,2.00862,8646.62,0,0,0,0,2,4
4,2.01149,10004.2,0,0,0.202622,5.06555e-05,2,4
5,2.01435,11225.9,0,0,0.476569,0.000129271,2,4
6,2.01722,12325.4,0,0,0.796358,0.00023304,2,4
7,2.02008,13314.9,0,0,1.04718,0.000335552,2,4
8,2.02294,14205.4,0,0,1.24784,0.000438058,2,4
9,2.0258,15006.8,0,0,1.41337,0.000541812,2.00001,4
10,2.02866,15728,0,0,1.5458,0.000645561,2.00001,4
11,2.03152,16377,0,0,1.65675,0.000750556,2.00001,4
12,2.03437,16961,0,0,1.74551,0.000855546,2.00001,4
13,2.03722,17486.6,0,0,1.81652,0.00096053,2.00001,4
14,2.04008,17959.6,0,0,1.87332,0.00106551,2.00001,4
15,2.04292,18385.2,0,0,1.98861,0.00118794,2.00002,4
16,2.04577,18768.2,0,0,1.96585,0.00128163,2.00002,4
17,2.04862,19112.8,0,0,2.04273,0.00139907,2.00002,4
18,2.05146,19422.9,0,0,2.10422,0.00151651,2.00002,4
19,2.0543,19701.9,0,0,2.05835,0.00161018,2.00003,4
20,2.05714,19953,0,0,2.02164,0.00170384,2.00003,4
21,2.05998,20178.9,0,0,2.01237,0.00180252,2.00003,4
22,2.06282,20382.2,0,0,1.9748,0.00189366,2.00003,4
23,2.06565,20565.1,0,0,1.97489,0.00199232,2.00004,4
24,2.06849,20729.7,0,0,2.02003,0.00210225,2.00004,4
25,2.07132,20877.7,0,0,2.08108,0.00221841,2.00004,4
26,2.07415,21010.8,0,0,2.10498,0.00232833,2.00005,4
27,2.07698,21130.6,0,0,2.12409,0.00243824,2.00005,4
28,2.0798,21238.4,0,0,2.11438,0.00254189,2.00006,4
29,2.08263,21335.3,0,0,2.02618,0.00262544,2.00006,4
30,2.08545,21422.5,0,0,1.95562,0.00270897,2.00006,4
31,2.08827,21500.9,0,0,1.9796,0.00281261,2.00007,4
32,2.09109,21571.4,0,0,2.06866,0.00293372,2.00007,4
33,2.09391,21634.8,0,0,2.1399,0.00305482,2.00008,4
34,2.09672,21691.8,0,0,2.1969,0.00317591,2.00008,4
35,2.09953,21743,0,0,2.2425,0.00329699,2.00009,4
36,2.10235,21789,0,0,2.19908,0.0033981,2.00009,4
37,2.10516,21830.4,0,0,2.15432,0.00349669,2.0001,4
38,2.10797,21867.6,0,0,2.05308,0.00357892,2.0001,4
39,2.11077,21901,0,0,1.97209,0.00366115,2.00011,4
40,2.11358,21931.1,0,0,1.86683,0.00373326,2.00011,4
41,2.11638,21958.1,0,0,1.82309,0.00381548,2.00012,4
42,2.11918,21982.3,0,0,1.82338,0.00390651,2.00013,4
43,2.12198,22004.1,0,0,1.87882,0.00401135,2.00013,4
44,2.12478,22023.6,0,0,1.92316,0.00411617,2.00014,4
45,2.12758,22041.1,0,0,1.97864,0.004226,2.00014,4
46,2.13037,22056.8,0,0,2.038,0.00433956,2.00015,4
47,2.13316,22070.9,0,0,2.07051,0.00444937,2.00016,4
48,2.13595,22083.5,0,0,2.07652,0.00455417,2.00016,4
49,2.13874,22094.8,0,0,2.08132,0.00465897,2.00017,4
50,2.14153,22104.9,0,0,2.06011,0.0047575,2.00018,4
51,2.14432,22113.9,0,0,2.04314,0.00485603,2.00018,4
52,2.1471,22122,0,0,2.03458,0.0049558,2.00019,4
53,2.14988,22129.2,0,0,2.02272,0.00505432,2.0002,4
54,2.15266,22135.6,0,0,2.01824,0.00515408,2.00021,4
55,2.15544,22141.4,0,0,2.01968,0.00525509,2.00021,4
56,2.15822,22146.5,0,0,2.02082,0.0053561,2.00022,4
57,2.16099,22151,0,0,2.00167,0.00545209,2.00023,4
58,2.16377,22155.1,0,0,1.98635,0.00554807,2.00024,4
59,2.16654,22158.7,0,0,1.9741,0.00564404,2.00025,4
60,2.16931,22161.8,0,0,1.96429,0.00574002,2.00026,4
61,2.24519,22164.6,1,0,1.95645,0.00583598,2.00027,4
62,2.32078,22167.1,1,0,2.00027,0.00594447,2.00028,4
63,2.39608,22169.2,1,0,2.06029,0.00605919,2.0003,4
64,2.47109,22171.1,1,0,2.12326,0.00617764,2.00032,4
65,2.54582,22172.7,1,0,2.15868,0.00629235,2.00034,4
